Sample_ID;Upper_Depth_cm;Lower_Depth_cm;Reference;Plot;pH_H2O;pH_KCl;Electrical_Conductivity_mS_cm;Organic_Carbon_pct;Organic_Matter_pct;Bulk_Density_g_cm3;CN_Ratio;Kjeldahl_Nitrogen_mg_kg;Nitrate_Nitrogen_mg_kg;Ammonium_Nitrogen_mg_kg;Nitrogen_pct;Total_Nitrogen_mg_kg;Phosphorus_mg_kg;Potassium_meq_100g;Calcium_meq_100g;Magnesium_meq_100g;Sodium_meq_100g;Boron_mg_kg;Iron_mg_kg;Copper_mg_kg;Zinc_mg_kg;Manganese_mg_kg;Carbonates_pct;CEC_meq_100g;Active_Lime_pct;Clay_pct;Silt_pct;Sand_pct;Gravel_pct;USDA_Classification;CaMg_Ratio;KMg_Ratio;CaK_Ratio;Longitude_EPSG4326;Latitude_EPSG4326
NA_SAN_AGUSTÍN;0;15;;San Agustín;;;;1.83;;1.208617704;;;;;;;;;;;;;;;;;;;;;;;17.5;;;;;-5.005569;37.218088
NA_SAN_AGUSTÍN;0;15;;San Agustín;;;;1.95;;1.309972497;;;;;;;;;;;;;;;;;;;;;;;12.2;;;;;-5.005241;37.217914
NA_SAN_AGUSTÍN;0;15;;San Agustín;;;;0.92;;1.481104207;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;-5.005355;37.217679
NA_SAN_AGUSTÍN;0;15;;San Agustín;;;;2.13;;1.206580422;;;;;;;;;;;;;;;;;;;;;;;14.6;;;;;-5.006307;37.218485
NA_SAN_AGUSTÍN;0;15;;San Agustín;;;;2.56;;1.006417439;;;;;;;;;;;;;;;;;;;;;;;13.9;;;;;-5.00593;37.218324
NA_SAN_AGUSTÍN;0;15;;San Agustín;;;;2.83;;1.149536518;;;;;;;;;;;;;;;;;;;;;;;20.7;;;;;-5.005582;37.218175
NA_SAN_AGUSTÍN;0;15;;San Agustín;;;;2.49;;1.160741571;;;;;;;;;;;;;;;;;;;;;;;16.8;;;;;-5.005254;37.218001
NA_SAN_AGUSTÍN;0;15;;San Agustín;;;;2.07;;1.108790873;;;;;;;;;;;;;;;;;;;;;;;14.8;;;;;-5.005368;37.217766
NA_LOS_GALLOS;0;15;;Los Gallos;;;;1.29;;1.167260874;;;;;;;;;;;;;;;;;;;;;;;8.3;;;;;-4.94033;37.336114
NA_LOS_GALLOS;0;15;;Los Gallos;;;;1.34;;1.219924621;;;;;;;;;;;;;;;;;;;;;;;3.5;;;;;-4.94024;37.336247
